LogID,UserID,ActivityType,CaloriesBurned,DateOfActivity,DistanceTraveled,Duration
AL1037,U1173,Weightlifting,361,2024-06-01,6.14,112
AL1038,U1325,Weightlifting,697,2024-03-01,17.85,109
AL1039,U1113,Running,560,2024-11-14,17.59,17
AL1040,U2259,Running,279,2024-07-25,14.3,20
AL1041,U639,Weightlifting,685,2024-11-14,12.21,69
AL1042,U1156,Running,534,2024-07-21,2.27,17
AL1043,U2183,Cycling,748,2024-09-16,1.5,89
AL1044,U2096,Weightlifting,754,2024-09-01,15.99,58
AL1045,U1792,Cycling,203,2024-09-02,13.13,111
AL1046,U1363,Cycling,315,2024-04-26,13.42,87
AL1047,U2908,Cycling,539,2024-10-19,7.12,107
AL1048,U38,Running,355,2024-05-05,17.1,112
AL1049,U1832,Cycling,752,2024-02-20,1.12,11
AL1050,U1259,Cycling,342,2024-09-15,15.35,40
AL1051,U857,Cycling,540,2024-10-04,14.48,111
AL1052,U1693,Running,190,2024-03-29,16.65,77
AL1053,U2764,Cycling,401,2024-05-02,6.74,42
AL1054,U2049,Weightlifting,613,2024-04-29,7.92,57
AL1055,U949,Weightlifting,117,2024-04-21,3.97,88
AL1056,U2605,Weightlifting,513,2024-05-03,11.53,56
AL1057,U308,Running,468,2024-08-30,18.39,12
AL1058,U232,Weightlifting,361,2024-04-07,11.5,62
AL1059,U686,Running,726,2024-10-18,19.34,21
AL1060,U1945,Running,690,2024-04-09,8.33,11
AL1061,U1181,Cycling,450,2024-09-18,3.19,54
AL1062,U2347,Running,799,2024-11-09,2.79,114
AL1063,U273,Cycling,320,2024-10-05,13.41,17
AL1064,U2683,Running,738,2024-10-24,10.39,84
AL1065,U1951,Cycling,301,2024-01-14,12.54,118
AL1066,U2092,Cycling,524,2024-04-24,13.73,89
AL1067,U1146,Weightlifting,208,2024-05-30,9.03,10
AL1068,U2574,Running,567,2024-11-09,14,55
AL1069,U822,Cycling,365,2024-04-06,7.57,36
AL1070,U604,Weightlifting,515,2024-07-15,4.84,38
AL1071,U57,Weightlifting,661,2024-03-10,12.69,89
AL1072,U890,Weightlifting,169,2024-03-06,15.52,46
AL1073,U1448,Weightlifting,231,2024-08-16,19.01,74
AL1074,U1751,Running,441,2024-05-11,7.38,113
AL1075,U2177,Weightlifting,515,2024-04-11,4.66,113
AL1076,U1781,Running,151,2024-03-17,18.96,55
AL1077,U2384,Running,581,2024-03-16,0.61,105
AL1078,U801,Cycling,211,2024-08-21,14.7,46
AL1079,U1410,Weightlifting,711,2024-08-26,10.21,66
AL1080,U1463,Running,433,2024-02-27,13.44,62
AL1081,U2596,Cycling,213,2024-08-17,19.59,35
AL1082,U909,Running,544,2024-04-15,13.95,75
AL1083,U1119,Cycling,704,2024-05-06,14.78,120
AL1084,U1857,Running,161,2024-03-25,7.89,103
AL1085,U2111,Weightlifting,701,2024-02-09,16.1,34
AL1086,U105,Running,724,2024-03-07,12.23,113
AL1087,U1173,Weightlifting,321,2024-11-15,14.13,43
AL1088,U541,Cycling,660,2024-10-28,16.95,113
AL1089,U207,Weightlifting,335,2024-10-21,8.88,20
AL1090,U2058,Weightlifting,727,2024-02-12,9.15,70
AL1091,U1888,Running,374,2024-10-17,4.95,103
AL1092,U2345,Cycling,618,2024-02-09,5.97,108
AL1093,U1738,Running,115,2024-03-26,4.51,82
AL1094,U2173,Running,557,2024-02-21,12.3,10
AL1095,U2078,Running,138,2024-07-17,3.5,52
AL1096,U2660,Cycling,190,2024-01-06,3.05,76
AL1097,U1792,Cycling,236,2024-03-21,0.53,21
AL1098,U1329,Weightlifting,398,2024-10-21,11.79,52
AL1099,U966,Cycling,625,2024-05-03,16.36,11
AL1100,U2969,Cycling,86,2024-09-04,11.4,47
AL1101,U2881,Cycling,743,2024-04-23,12.96,31
AL1102,U85,Weightlifting,510,2024-01-10,9.11,14
AL1103,U1988,Cycling,405,2024-10-30,14.1,57
AL1104,U1496,Weightlifting,536,2024-01-23,4.53,103
AL1105,U2666,Running,543,2024-11-02,1.15,32
AL1106,U1368,Running,264,2024-08-06,11.48,49
AL1107,U2694,Running,82,2024-04-01,11.14,17
AL1108,U2090,Cycling,580,2024-02-01,4.74,102
AL1109,U279,Cycling,185,2024-07-13,7.36,81
AL1110,U2459,Running,196,2024-05-25,16.24,42
AL1111,U2172,Cycling,684,2024-10-07,4.37,52
AL1112,U620,Weightlifting,233,2024-01-04,7.8,72
AL1113,U2611,Running,796,2024-10-15,17.24,46
AL1114,U260,Cycling,168,2024-08-01,14.86,92
AL1115,U542,Cycling,598,2024-02-01,19,41
AL1116,U2385,Cycling,155,2024-04-24,18.88,96
AL1117,U2840,Cycling,742,2024-07-12,13.55,38
AL1118,U1267,Weightlifting,643,2024-05-03,3.65,32
AL1119,U1291,Running,674,2024-04-08,18.39,110
AL1120,U767,Cycling,660,2024-01-02,5.5,89
AL1121,U1093,Cycling,713,2024-09-28,8.29,19
AL1122,U2930,Weightlifting,697,2024-07-05,8.65,57
AL1123,U853,Weightlifting,312,2024-06-11,16.75,18
AL1124,U210,Cycling,685,2024-04-29,11.98,78
AL1125,U2555,Weightlifting,260,2024-11-21,13.31,118
AL1126,U1113,Weightlifting,212,2024-07-23,12.17,15
AL1127,U414,Running,159,2024-02-14,7.41,63
AL1128,U1661,Weightlifting,325,2024-06-09,11.83,23
AL1129,U2709,Running,238,2024-07-15,2.64,87
AL1130,U968,Running,506,2024-05-05,14.8,33
AL1131,U2376,Weightlifting,523,2024-02-01,1.38,113
AL1132,U1504,Running,515,2024-09-05,14.41,65
AL1133,U651,Weightlifting,529,2024-01-20,2.59,119
AL1134,U2620,Cycling,133,2024-03-25,15.54,39
AL1135,U817,Running,776,2024-07-13,1.56,57
AL1136,U300,Running,78,2024-02-15,5.51,16
AL1137,U941,Weightlifting,713,2024-04-08,10.6,43
AL1138,U1955,Cycling,210,2024-06-14,8.93,45
AL1139,U2499,Weightlifting,797,2024-02-16,4.22,50
AL1140,U2689,Cycling,709,2024-05-31,14.35,120
AL1141,U876,Running,312,2024-07-16,7.47,106
AL1142,U1730,Weightlifting,104,2024-04-14,18.02,77
AL1143,U750,Weightlifting,457,2024-08-12,3.79,115
AL1144,U1609,Running,694,2024-01-17,14.89,117
AL1145,U2012,Cycling,602,2024-07-15,16.74,61
AL1146,U2808,Weightlifting,61,2024-04-09,11.13,76
AL1147,U2414,Running,239,2024-11-07,0.57,73
AL1148,U247,Weightlifting,327,2024-11-14,5.21,108
AL1149,U455,Running,202,2024-05-22,16.44,110
AL1150,U1179,Running,352,2024-01-04,1.49,97
AL1151,U2923,Weightlifting,250,2024-11-09,7.34,75
AL1152,U2361,Cycling,733,2024-09-29,4.71,71
AL1153,U2465,Running,414,2024-05-14,11.59,40
AL1154,U2023,Cycling,681,2024-08-26,9.33,102
AL1155,U2871,Running,95,2024-02-28,10.34,71
AL1156,U281,Weightlifting,108,2024-05-24,3.89,117
AL1157,U2995,Weightlifting,99,2024-06-29,11.91,46
AL1158,U1414,Running,696,2024-02-28,7.8,25
AL1159,U1420,Weightlifting,212,2024-11-21,18.14,43
AL1160,U1666,Weightlifting,267,2024-04-08,18.52,50
AL1161,U40,Running,101,2024-09-17,2.54,114
AL1162,U2800,Weightlifting,319,2024-05-10,18.52,51
AL1163,U42,Weightlifting,429,2024-09-14,16.27,74
AL1164,U1172,Weightlifting,745,2024-04-29,17.65,63
AL1165,U1914,Running,207,2024-07-13,3.01,34
AL1166,U289,Running,164,2024-03-08,9.97,19
AL1167,U630,Cycling,748,2024-10-23,5.63,72
AL1168,U341,Cycling,504,2024-04-09,6.14,12
AL1169,U321,Running,639,2024-01-03,14.39,75
AL1170,U2711,Running,610,2024-02-19,19.08,113
AL1171,U463,Weightlifting,499,2024-05-24,13.16,38
AL1172,U2370,Weightlifting,293,2024-07-27,14.43,57
AL1173,U871,Weightlifting,375,2024-06-10,16.39,32
AL1174,U1471,Running,420,2024-04-17,7.01,98
AL1175,U76,Running,210,2024-07-29,10.52,65
AL1176,U2865,Running,775,2024-02-21,8.09,62
AL1177,U619,Running,715,2024-08-03,15.28,94
AL1178,U2077,Cycling,152,2024-03-13,13.32,101
AL1179,U2906,Cycling,571,2024-06-23,11.21,71
AL1180,U644,Cycling,736,2024-10-17,13.65,114
AL1181,U2428,Weightlifting,748,2024-05-11,5.26,95
AL1182,U604,Running,564,2024-05-06,5.24,30
AL1183,U1739,Running,559,2024-01-06,8.48,20
AL1184,U725,Cycling,201,2024-09-05,4.18,45
AL1185,U2498,Weightlifting,522,2024-05-06,15.47,74
AL1186,U2859,Cycling,537,2024-03-29,15.18,69
AL1187,U1467,Cycling,710,2024-02-13,18.02,55
AL1188,U1450,Cycling,203,2024-05-18,4.24,59
AL1189,U2288,Running,602,2024-04-29,5.12,36
AL1190,U2842,Weightlifting,170,2024-03-12,10.45,57
AL1191,U823,Weightlifting,777,2024-08-24,8.23,71
AL1192,U2031,Running,724,2024-09-11,1.66,46
AL1193,U2454,Cycling,735,2024-09-16,4.98,73
AL1194,U119,Running,470,2024-08-16,15.6,112
AL1195,U103,Running,559,2024-01-25,18.86,25
AL1196,U2810,Running,234,2024-04-18,11.49,16
AL1197,U8,Cycling,594,2024-05-24,19.75,28
AL1198,U1025,Weightlifting,450,2024-09-07,12.07,29
AL1199,U2000,Cycling,670,2024-03-30,18.14,33
AL1200,U1392,Weightlifting,691,2024-03-12,9,103
AL1201,U1617,Running,544,2024-07-31,1.43,113
AL1202,U447,Weightlifting,170,2024-01-12,13.03,107
AL1203,U2603,Weightlifting,614,2024-07-18,4.19,88
AL1204,U1974,Weightlifting,400,2024-02-16,14.85,74
AL1205,U1873,Running,737,2024-05-07,16.03,89
AL1206,U316,Cycling,511,2024-01-04,3.67,50
AL1207,U1823,Cycling,239,2024-11-02,17.55,14
AL1208,U650,Cycling,77,2024-05-07,13.67,101
AL1209,U1729,Weightlifting,616,2024-02-03,8.68,98
AL1210,U387,Running,782,2024-06-05,7.92,55
AL1211,U1099,Running,342,2024-01-09,19.64,97
AL1212,U542,Cycling,783,2024-06-01,19.17,95
AL1213,U1238,Cycling,338,2024-10-18,14.75,21
AL1214,U480,Cycling,531,2024-10-27,13.08,35
AL1215,U1981,Running,624,2024-06-06,11.86,104
AL1216,U244,Weightlifting,83,2024-08-14,4.02,78
AL1217,U973,Running,271,2024-01-20,1.08,80
AL1218,U336,Cycling,369,2024-05-27,8.74,78
AL1219,U2495,Running,419,2024-05-27,16.78,88
AL1220,U2416,Running,355,2024-09-29,10.36,86
AL1221,U2530,Running,744,2024-10-02,17.68,89
AL1222,U210,Weightlifting,372,2024-03-17,2.17,10
AL1223,U403,Cycling,170,2024-10-19,19.88,10
AL1224,U2677,Cycling,701,2024-01-15,9.48,117
AL1225,U2669,Running,174,2024-03-21,14.22,82
AL1226,U2678,Weightlifting,50,2024-08-22,10.1,98
AL1227,U2084,Weightlifting,132,2024-04-05,17.97,81
AL1228,U1351,Running,722,2024-05-22,16.5,92
AL1229,U1044,Weightlifting,329,2024-02-17,17.64,59
AL1230,U2072,Weightlifting,661,2024-09-27,10.69,87
AL1231,U2215,Running,583,2024-05-01,0.73,106
AL1232,U780,Weightlifting,318,2024-02-01,0.86,15
AL1233,U295,Weightlifting,112,2024-03-11,1.55,55
AL1234,U1829,Weightlifting,595,2024-01-13,5.1,106
AL1235,U1327,Running,682,2024-02-08,13.13,83
AL1236,U2613,Weightlifting,234,2024-05-01,0.9,100
AL1237,U2700,Weightlifting,405,2024-09-13,13.5,17
AL1238,U2343,Cycling,287,2024-02-01,7.19,53
AL1239,U127,Cycling,478,2024-08-16,18.27,110
AL1240,U2218,Cycling,544,2024-07-25,17.83,17
AL1241,U2578,Running,319,2024-11-23,4.92,12
AL1242,U840,Running,424,2024-07-16,5.04,49
AL1243,U2113,Running,525,2024-06-20,19.97,111
AL1244,U504,Cycling,181,2024-05-19,9.01,71
AL1245,U2302,Cycling,778,2024-08-25,6.04,108
AL1246,U1750,Cycling,183,2024-03-29,13.18,53
AL1247,U1341,Cycling,558,2024-08-05,3.86,95
AL1248,U1161,Weightlifting,200,2024-10-08,5.88,44
AL1249,U2490,Running,78,2024-03-21,14.61,66
AL1250,U2744,Weightlifting,337,2024-05-15,4.46,23
AL1251,U1956,Cycling,629,2024-06-01,7.86,119
AL1252,U1202,Weightlifting,653,2024-10-30,6.07,61
AL1253,U213,Weightlifting,456,2024-02-10,16.98,23
AL1254,U2629,Cycling,623,2024-04-18,17.12,78
AL1255,U338,Running,487,2024-07-21,14.96,64
AL1256,U499,Cycling,357,2024-02-11,5.05,91
AL1257,U2371,Weightlifting,470,2024-03-03,4.3,61
AL1258,U992,Weightlifting,687,2024-05-24,18.31,49
AL1259,U2487,Cycling,93,2024-05-11,12.01,99
AL1260,U1852,Weightlifting,161,2024-02-16,18.49,70
AL1261,U1007,Cycling,341,2024-10-27,5.63,93
AL1262,U2719,Running,372,2024-09-25,6.66,62
AL1263,U2209,Cycling,773,2024-07-23,17.07,79
AL1264,U775,Running,179,2024-04-28,0.67,24
AL1265,U225,Weightlifting,251,2024-09-11,10.55,73
AL1266,U2085,Running,523,2024-06-13,11.37,107
AL1267,U853,Running,472,2024-06-14,16.85,97
AL1268,U808,Running,67,2024-05-28,19.43,31
AL1269,U2604,Cycling,201,2024-02-21,16.07,113
AL1270,U1869,Running,663,2024-09-08,19.27,23
AL1271,U578,Weightlifting,576,2024-03-16,3.36,74
AL1272,U2016,Weightlifting,253,2024-03-02,8.16,24
AL1273,U551,Cycling,713,2024-05-09,15.15,102
AL1274,U2672,Weightlifting,529,2024-08-04,12.87,91
AL1275,U343,Running,747,2024-05-27,19.64,76
AL1276,U1513,Running,107,2024-05-04,13.55,25
AL1277,U934,Weightlifting,501,2024-04-26,12.2,44
AL1278,U2455,Cycling,257,2024-07-23,15,82
AL1279,U1649,Cycling,317,2024-06-08,5.37,23
AL1280,U2273,Weightlifting,621,2024-05-14,2.95,63
AL1281,U2559,Weightlifting,499,2024-05-09,5.78,85
AL1282,U2642,Running,231,2024-06-03,4.95,28
AL1283,U763,Running,392,2024-02-08,10.36,69
AL1284,U23,Cycling,664,2024-10-24,19.7,38
AL1285,U2952,Cycling,132,2024-07-03,13.42,64
AL1286,U1450,Cycling,543,2024-01-16,13.61,117
AL1287,U263,Running,212,2024-02-17,1.77,59
AL1288,U2017,Running,654,2024-07-29,15.29,96
AL1289,U2142,Running,782,2024-09-07,1.51,89
AL1290,U1396,Running,54,2024-11-18,2.39,17
AL1291,U1974,Weightlifting,229,2024-03-29,13.3,53
AL1292,U2634,Weightlifting,502,2024-01-29,19.22,17
AL1293,U1377,Cycling,594,2024-07-09,1.8,79
AL1294,U2550,Running,783,2024-02-10,7.22,97
AL1295,U745,Running,568,2024-05-05,1.92,47
AL1296,U2131,Cycling,662,2024-01-10,8.32,15
AL1297,U2466,Weightlifting,629,2024-10-20,18.31,50
AL1298,U644,Weightlifting,298,2024-08-10,6.63,97
AL1299,U1925,Cycling,608,2024-04-11,9.13,95
AL1300,U2294,Running,459,2024-11-02,17.92,88
AL1301,U1381,Cycling,295,2024-09-02,12.77,11
AL1302,U951,Cycling,406,2024-07-07,13.73,12
AL1303,U2825,Cycling,540,2024-10-26,14.31,14
AL1304,U2365,Weightlifting,132,2024-10-17,5.6,43
AL1305,U1750,Cycling,350,2024-08-06,14.68,34
AL1306,U328,Running,303,2024-06-22,6.24,54
AL1307,U1844,Weightlifting,83,2024-04-19,9.25,49
AL1308,U998,Cycling,342,2024-03-16,16.25,27
AL1309,U2573,Cycling,61,2024-05-29,2.3,111
AL1310,U2944,Cycling,443,2024-05-30,19.44,66
AL1311,U1492,Running,113,2024-01-18,7.29,15
AL1312,U944,Weightlifting,393,2024-06-28,16.84,98
AL1313,U426,Weightlifting,652,2024-07-20,14.69,48
AL1314,U620,Weightlifting,459,2024-02-13,2.37,21
AL1315,U1369,Running,642,2024-08-22,14.78,84
AL1316,U174,Weightlifting,78,2024-10-06,2.84,72
AL1317,U2452,Cycling,369,2024-05-09,9.5,102
AL1318,U2646,Cycling,761,2024-03-09,1.71,47
AL1319,U1716,Weightlifting,64,2024-07-12,12.59,31
AL1320,U1209,Cycling,670,2024-03-09,15.01,105
AL1321,U2108,Running,174,2024-04-29,15.79,45
AL1322,U2294,Weightlifting,483,2024-08-13,15.92,107
AL1323,U611,Cycling,319,2024-03-16,7.82,37
AL1324,U1952,Cycling,594,2024-05-09,18.8,68
AL1325,U1,Running,624,2024-01-24,11.6,48
AL1326,U1641,Weightlifting,587,2024-11-19,1.59,14
AL1327,U2262,Weightlifting,61,2024-05-10,4.92,63
AL1328,U1872,Weightlifting,176,2024-06-18,7.32,13
AL1329,U153,Running,682,2024-07-15,15.14,33
AL1330,U263,Running,769,2024-08-01,8.48,119
AL1331,U1037,Cycling,123,2024-08-09,9.48,91
AL1332,U1724,Weightlifting,628,2024-11-24,19.64,87
AL1333,U25,Weightlifting,575,2024-11-10,15.32,24
AL1334,U435,Cycling,145,2024-10-22,8.99,25
AL1335,U666,Weightlifting,631,2024-10-25,15.81,15
AL1336,U2852,Running,107,2024-07-21,4.07,101
AL1337,U759,Cycling,406,2024-08-10,17.13,40
AL1338,U2434,Running,279,2024-07-28,10.71,55
AL1339,U2454,Cycling,243,2024-11-03,12.92,50
AL1340,U806,Weightlifting,609,2024-02-10,19.36,21
AL1341,U2174,Weightlifting,648,2024-09-03,8.89,105
AL1342,U1656,Running,748,2024-04-29,14.99,44
AL1343,U1185,Cycling,381,2024-02-28,15.59,77
AL1344,U1932,Running,701,2024-02-05,11.52,96
AL1345,U1319,Cycling,111,2024-08-16,11.81,24
AL1346,U2410,Cycling,523,2024-10-16,3.56,82
AL1347,U1188,Cycling,493,2024-04-05,10.49,29
AL1348,U2723,Weightlifting,318,2024-06-22,15.85,69
AL1349,U1484,Cycling,606,2024-03-17,7.05,55
AL1350,U43,Cycling,426,2024-10-14,6.31,120
AL1351,U2174,Cycling,192,2024-08-21,5.42,94
AL1352,U2802,Weightlifting,134,2024-04-02,4.04,63
AL1353,U2297,Running,646,2024-05-14,13.31,106
AL1354,U2168,Cycling,131,2024-01-04,16.04,66
AL1355,U639,Running,157,2024-07-16,9.68,35
AL1356,U2323,Weightlifting,370,2024-05-26,1.12,25
AL1357,U2719,Weightlifting,668,2024-05-31,6.64,48
AL1358,U157,Running,277,2024-04-26,15.8,54
AL1359,U925,Running,289,2024-07-26,2.68,113
AL1360,U910,Cycling,742,2024-09-15,2.72,93
AL1361,U533,Running,222,2024-09-12,5.57,40
AL1362,U539,Weightlifting,355,2024-02-15,11.29,44
AL1363,U140,Weightlifting,612,2024-01-21,9.76,53
AL1364,U1050,Cycling,309,2024-06-03,13.99,83
AL1365,U2664,Running,318,2024-01-07,5.06,110
AL1366,U128,Weightlifting,647,2024-01-31,14.33,92
AL1367,U2932,Cycling,80,2024-02-12,5.44,37
AL1368,U956,Weightlifting,488,2024-10-28,3.05,106
AL1369,U2489,Cycling,423,2024-08-29,6.67,78
AL1370,U180,Weightlifting,649,2024-01-06,16.49,107
AL1371,U1998,Running,166,2024-08-07,2.14,103
AL1372,U869,Weightlifting,91,2024-09-22,2.55,117
AL1373,U1992,Weightlifting,712,2024-08-14,15.74,75
AL1374,U199,Cycling,77,2024-03-08,10.77,94
AL1375,U1784,Cycling,504,2024-01-29,4.83,67
AL1376,U1794,Weightlifting,65,2024-08-25,5.58,83
AL1377,U1147,Running,230,2024-09-11,10.02,113
AL1378,U1532,Weightlifting,758,2024-10-31,1.96,76
AL1379,U215,Cycling,665,2024-01-12,5.09,86
AL1380,U2490,Weightlifting,217,2024-02-21,19.54,69
AL1381,U2335,Cycling,755,2024-04-17,16.04,88
AL1382,U131,Cycling,306,2024-07-20,8.36,70
AL1383,U541,Weightlifting,354,2024-03-18,18.23,64
AL1384,U1111,Weightlifting,759,2024-10-29,2.87,14
AL1385,U2863,Running,63,2024-04-12,1.38,29
AL1386,U2265,Cycling,249,2024-04-08,9.59,104
AL1387,U855,Weightlifting,183,2024-10-10,19.69,67
AL1388,U2479,Running,389,2024-02-27,18.75,115
AL1389,U2847,Weightlifting,406,2024-04-19,15.37,104
AL1390,U2731,Cycling,529,2024-04-20,4.04,60
AL1391,U1499,Cycling,525,2024-01-26,11.01,120
AL1392,U1852,Running,469,2024-01-27,18.82,66
AL1393,U1452,Running,248,2024-08-11,12.1,109
AL1394,U866,Cycling,431,2024-01-06,0.93,93
AL1395,U2072,Running,653,2024-11-10,16.23,91
AL1396,U976,Cycling,734,2024-04-13,3.98,99
AL1397,U279,Weightlifting,447,2024-10-09,10.36,100
AL1398,U1679,Weightlifting,200,2024-05-16,8.71,29
AL1399,U2839,Cycling,347,2024-01-25,18.99,45
AL1400,U1417,Weightlifting,233,2024-10-05,4.22,11
AL1401,U764,Running,486,2024-06-16,1.54,26
AL1402,U2345,Weightlifting,359,2024-04-23,3.73,35
AL1403,U2846,Cycling,728,2024-11-05,19.68,97
AL1404,U1262,Weightlifting,537,2024-11-01,6.91,15
AL1405,U1207,Running,597,2024-01-19,6.98,63
AL1406,U460,Weightlifting,551,2024-02-14,2.25,81
AL1407,U602,Weightlifting,505,2024-06-17,17.83,21
AL1408,U1700,Running,148,2024-06-06,6.56,61
AL1409,U1514,Cycling,307,2024-07-11,3.56,57
AL1410,U2482,Weightlifting,551,2024-11-13,17.76,62
AL1411,U2019,Cycling,412,2024-07-19,6.17,45
AL1412,U258,Cycling,709,2024-11-10,9.98,101
AL1413,U2630,Weightlifting,395,2024-03-29,3.63,51
AL1414,U211,Cycling,106,2024-03-08,0.59,60
AL1415,U1573,Weightlifting,772,2024-01-02,19.81,57
AL1416,U2083,Cycling,601,2024-05-27,3.55,66
AL1417,U2524,Weightlifting,757,2024-04-22,1.7,83
AL1418,U2236,Cycling,446,2024-05-16,5.71,35
AL1419,U1985,Running,417,2024-07-01,19.79,119
AL1420,U2975,Cycling,144,2024-10-27,19.66,116
AL1421,U1588,Running,574,2024-01-24,13.74,28
AL1422,U738,Running,295,2024-08-13,13.68,17
AL1423,U2134,Running,653,2024-03-11,5.88,18
AL1424,U1474,Cycling,246,2024-08-21,11.37,10
AL1425,U2896,Weightlifting,422,2024-03-21,3.65,30
AL1426,U2427,Cycling,143,2024-10-18,9.12,72
AL1427,U347,Cycling,251,2024-02-02,13.29,118
AL1428,U1455,Weightlifting,276,2024-09-06,17.4,71
AL1429,U2374,Cycling,520,2024-06-10,5.95,65
AL1430,U2210,Cycling,472,2024-10-23,12.69,119
AL1431,U1938,Weightlifting,122,2024-03-08,6.28,51
AL1432,U1287,Weightlifting,292,2024-03-14,19.25,32
AL1433,U2899,Weightlifting,176,2024-08-29,11.11,85
AL1434,U1770,Cycling,592,2024-10-19,15.16,43
AL1435,U951,Running,409,2024-09-01,2.21,90
AL1436,U864,Weightlifting,532,2024-07-06,7,37
AL1437,U1690,Cycling,530,2024-07-24,10.8,101
AL1438,U984,Cycling,752,2024-03-09,9.93,40
AL1439,U956,Running,637,2024-01-22,1.91,115
AL1440,U1541,Running,640,2024-01-30,19.58,55
AL1441,U1620,Running,776,2024-05-29,3.22,55
AL1442,U817,Cycling,595,2024-05-02,13.29,26
AL1443,U2227,Weightlifting,418,2024-05-15,16.82,76
AL1444,U2240,Running,123,2024-04-16,9.86,117
AL1445,U1610,Weightlifting,368,2024-03-06,19.79,98
AL1446,U33,Running,476,2024-09-12,8.86,70
AL1447,U253,Running,773,2024-04-25,8.92,41
AL1448,U2139,Cycling,454,2024-10-29,16.86,13
AL1449,U524,Running,53,2024-06-05,7.65,23
AL1450,U1082,Weightlifting,618,2024-01-23,19.88,21
AL1451,U2419,Running,787,2024-03-02,8.63,97
AL1452,U772,Weightlifting,661,2024-06-13,1.22,46
AL1453,U686,Running,745,2024-04-03,15.71,56
AL1454,U2407,Cycling,234,2024-11-22,11.15,110
AL1455,U2861,Weightlifting,257,2024-02-08,19.05,117
AL1456,U1985,Running,674,2024-06-21,11.32,46
AL1457,U2516,Running,744,2024-10-31,6.15,13
AL1458,U305,Running,482,2024-05-11,19.74,44
AL1459,U2,Running,139,2024-04-10,6.06,18
AL1460,U343,Running,484,2024-08-24,14.46,11
AL1461,U1110,Weightlifting,694,2024-03-16,1.64,58
AL1462,U388,Cycling,428,2024-01-28,5.23,50
AL1463,U2739,Running,251,2024-04-17,14.84,68
AL1464,U90,Weightlifting,330,2024-10-12,8.72,79
AL1465,U588,Running,90,2024-11-08,16.5,92
AL1466,U220,Running,119,2024-11-11,16.4,16
AL1467,U2034,Cycling,139,2024-06-28,19.55,93
AL1468,U1078,Running,98,2024-02-25,15.62,92
AL1469,U2815,Weightlifting,529,2024-04-09,5.37,75
AL1470,U1418,Running,453,2024-07-17,14.66,119
AL1471,U265,Running,530,2024-01-04,12.02,108
AL1472,U2170,Running,722,2024-10-22,1.49,103
AL1473,U833,Running,251,2024-02-21,1.58,105
AL1474,U721,Running,584,2024-03-13,19.82,37
AL1475,U280,Cycling,543,2024-06-03,15.98,17
AL1476,U1284,Running,740,2024-08-22,5.08,79
AL1477,U647,Weightlifting,103,2024-08-26,9.64,62
AL1478,U2845,Running,67,2024-01-03,10.27,55
AL1479,U1399,Weightlifting,583,2024-04-21,14.19,46
AL1480,U91,Cycling,453,2024-08-12,15.5,80
AL1481,U67,Running,540,2024-01-23,5.03,37
AL1482,U1392,Weightlifting,623,2024-05-22,14.72,56
AL1483,U1567,Cycling,542,2024-11-10,10.9,75
AL1484,U1087,Weightlifting,758,2024-01-31,16.34,30
AL1485,U1105,Weightlifting,368,2024-08-14,18.55,47
AL1486,U40,Cycling,747,2024-11-04,3.54,78
AL1487,U524,Weightlifting,203,2024-02-10,17.36,12
AL1488,U241,Running,323,2024-03-25,18.5,120
AL1489,U410,Weightlifting,637,2024-02-13,7.28,13
AL1490,U1339,Cycling,174,2024-03-26,10.22,54
AL1491,U1139,Running,74,2024-04-21,12.15,40
AL1492,U946,Running,646,2024-08-04,15,21
AL1493,U2606,Weightlifting,72,2024-03-10,5.92,106
AL1494,U2892,Running,247,2024-09-07,2.07,48
AL1495,U2105,Cycling,759,2024-11-10,6.15,98
AL1496,U786,Cycling,734,2024-02-28,9.32,48
AL1497,U151,Cycling,236,2024-10-04,15.69,95
AL1498,U1641,Running,107,2024-10-19,19.7,101
AL1499,U762,Weightlifting,478,2024-03-25,8.26,67
AL1500,U2794,Running,386,2024-10-14,7.21,66
AL1501,U1430,Cycling,123,2024-06-03,2.44,34
AL1502,U2987,Weightlifting,355,2024-09-15,11.37,78
AL1503,U287,Weightlifting,423,2024-06-07,1.11,34
AL1504,U1866,Cycling,283,2024-03-18,12.39,16
AL1505,U847,Weightlifting,664,2024-06-16,10.74,26
AL1506,U82,Cycling,304,2024-07-28,10.38,99
AL1507,U2044,Running,234,2024-07-15,9.25,52
AL1508,U955,Cycling,217,2024-02-22,4.4,57
AL1509,U1940,Cycling,460,2024-01-31,2.13,42
AL1510,U2446,Running,669,2024-06-25,16.29,59
AL1511,U1750,Weightlifting,254,2024-02-02,7.27,100
AL1512,U717,Cycling,749,2024-02-28,4.34,79
AL1513,U2636,Running,517,2024-07-16,19.98,33
AL1514,U487,Running,94,2024-02-06,4.63,41
AL1515,U862,Cycling,632,2024-02-14,16.3,27
AL1516,U1331,Running,544,2024-04-02,0.82,77
AL1517,U2088,Cycling,224,2024-01-13,11.86,25
AL1518,U495,Running,183,2024-04-11,11.05,77
AL1519,U713,Running,200,2024-01-15,9.37,75
AL1520,U1528,Running,397,2024-03-30,4.02,103
AL1521,U1455,Cycling,617,2024-05-16,18.49,51
AL1522,U228,Weightlifting,742,2024-07-13,4.98,65
AL1523,U2685,Weightlifting,742,2024-02-14,5.22,38
